complaint,department,label
रामगंगा नदी झूलापुल नेलियाबगड एवं नामिक झूला पुल के सुरक्षा कार्यों हेतु धनराशि स्वीक़त किये जाने बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
"क्वीटी, सैंणरांथी, होकरा एवं नामिक पैदल मार्ग की मरम्मत हेतु धनराशि स्वीक़त किये जाने बाबत","अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
ग्राम पंचायत सातशिलिंग में बिजली विद्युत लाईनों से हो रहे खतरे से निजात दिलाये जाने बाबत,अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32.0
छडनदेव मलान में सडक निर्माण से क्षतिग्रस्त सी०सी० मार्ग की मरम्मत एवं पेयजल समस्या का समाधान किये जाने बाबत,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
छडनदेव मलान में सडक निर्माण से क्षतिग्रस्त सी०सी० मार्ग की मरम्मत एवं पेयजल समस्या का समाधान किये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान डीडीहाट,47.0
"दिनांक १५०८२०२५ को हुई वर्षा से क्षतिग्रस्त आंगन, शौचालय व आवासीय भवन की दीवारों में आई दरार की मरम्मत हेतु आर्थिक सहायता प्रदान किये जाने बाबत","उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
"दिनांक १५०८२०२५ को हुई वर्षा से क्षतिग्रस्त आंगन, शौचालय व आवासीय भवन की दीवारों में आई दरार की मरम्मत हेतु आर्थिक सहायता प्रदान किये जाने बाबत",खण्ड विकास अधिकारी कनालीछीना,36.0
रसैपाटा मोडी मोटर मार्ग निर्माण से क्षतिग्रस्त भूमि का मुआवजा एवं राजीव भवन मोडी में की गई अनियमितता की जांच बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
रसैपाटा मोडी मोटर मार्ग निर्माण से क्षतिग्रस्त भूमि का मुआवजा एवं राजीव भवन मोडी में की गई अनियमितता की जांच बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
ग्राम फिलम दारमा में दिनांक ११ अगस्त २०२५ को हुई भारी वर्षा से जल संस्थान की क्षतिग्रस्त पेयजल लाईन को सुचारू करवाने बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
ग्राम पंचायत फिलम दारमा में प्राईमरी स्कूल के भवन की मरम्मत किये जाने बाबत,परियोजना निदेशक डीआरडीए पिथौरागढ़ (DRDA),90.0
रा०इ०का० पैय्यापौडी में रिक्त पदों पर अध्यापकों की नियुक्ति किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
नालालेख शिव मंदिर पर्यटन स्थल का विकास एवं उक्त स्थल को पैय्यापौडी से सम्पर्क मार्ग से जोडने बाबत,जिला पर्यटन विकास अधिकारी,17.0
दांतू दारमा में प्राथमिक विघालय भवन की मरम्मत किये जाने बाबत,परियोजना निदेशक डीआरडीए पिथौरागढ़ (DRDA),90.0
प्राथमिक विघालय बौन गोदी के भवन की मरम्मत किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
राजकीय माध्यमिक जूनियर हाईस्कूल दुग्तू गोदी का भवन जीर्ण शीर्ण होने के द़ष्टिगत मरम्मत कार्य करवाये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
ग्राम पंचायत सेला में दैवीय आपदा से डुफ़फू से सेला गांव को जोडने वाला क्षतिग्रस्त सम्पर्क पुल का पुननिर्माण कराये जाने बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
परिवार के किसी अन्य सदस्य द्वारा प्रार्थी के हिस्से की भूमि विक्रय किये जाने पर आपत्ति लगाये जाने के सम्बन्ध मेंा,तहसील पिथौरागढ़,0.0
आधार कार्ड अपडेट करने में आ रही समस्याओं का समाधान किये जाने बाबत,तहसील पिथौरागढ़,0.0
पी०एम०ए०वाई० योजना अन्तर्गत आवास उपलब्ध कराये जाने बाबत,खण्ड विकास अधिकारी  पिथौरागढ़,91.0
ग्राम पंचायत गोगना के सेरा गांव में भारी वर्षा से गांव की तरु नाला आने से घरों को खतरा होने से तत्काल कार्यवाही किये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
क्षतिग्रस्त घाट झूलापूल की मरम्मत किये जाने बाबत,अधिशासी अभियंता प्रान्तीय खण्ड लो0नि0वि0 पिथौरागढ़,46.0
ग्रामसभा कनार की विभिन्न विषयक ११ मांगों का समाधान किये जाने बाबत,"मुख्य चिकित्साधिकारी कार्यालय, पिथौरागढ़",78.0
ग्रामसभा कनार की विभिन्न विषयक ११ मांगों का समाधान किये जाने बाबत,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
ग्रामसभा कनार की विभिन्न विषयक ११ मांगों का समाधान किये जाने बाबत,अधि0अभि0 पी0एम0जी0एस0वाई0खण्ड लो0नि0वि0 धारचूला,57.0
ग्रामसभा कनार की विभिन्न विषयक ११ मांगों का समाधान किये जाने बाबत,मुख्य पशु चिकित्सा अधिकारी पिथौरागढ़,56.0
प्राधिकरण से नोटिस जारी उपरान्त भी विपक्षी द्वारा प्रार्थिनी के भवन के पीछे कुंआ खोदने से प्रार्थिनी के मकान को खतरा होने के मददेनजर प्रकरण में कार्यवाही किये जाने बाबत,जिला स्तरीय विकास प्राधिकरण,55.0
सातशिलिंग से असुरचूला ट्रैक रूट निर्माण की जांच एवं कार्य पूर्ण करवाये जाने बाबत,जिला पर्यटन विकास अधिकारी,17.0
अजेडा से शमशान घाट चर्मा तक खडंजा मार्ग निर्माण बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
ग्रामसभा पांगला की विभिन्न समस्याओं का समाधान किये जाने बाबत,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
ग्रामसभा पांगला की विभिन्न समस्याओं का समाधान किये जाने बाबत,जिला पंचायत पिथौरागढ,41.0
ग्रामसभा पांगला की विभिन्न समस्याओं का समाधान किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
ग्राम पंचायत मेतली की विभिन्न समस्याओं का समाधान किये जाने बाबत,अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32.0
ग्राम पंचायत मेतली की विभिन्न समस्याओं का समाधान किये जाने बाबत,अधिशासी अभियन्ता नि0शा0पेय जल निगम डीडीहाट,58.0
पर्यटन का कारोबार किये जाने हेतु दस्तावेज जारी किये जाने बाबत,तहसील पिथौरागढ़,0.0
आपदा से क्षतिग्रस्त मकान के पुनर्निर्माण हेतु धनराशि दिलाये जाने बाबत,तहसील पिथौरागढ़,0.0
"बंगापानी मवानी दवानी, आलम, दारमा मोटर मार्ग/मोटर पुल का सुधारीकरण एवं मोटर मार्ग को गडढा मुक्त किये जाने बाबत","अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
क्षतिग्रस्त आवासीय भवन की सुरक्षा हेतु राहत सामग्री उपलब्ध कराये जाने बाबत,उप जिलाधिकारी धारचूला,65.0
जिला पंचायत द्वारा निर्माणाधीन ग्राम वुर्मा से बडखालेख मोटर मार्ग को लोक निर्माण विभाग को हस्तांतरित करने बाबत,अधिशासी अभियंता प्रान्तीय खण्ड लो0नि0वि0 पिथौरागढ़,46.0
ग्राम ढुंगातोली से तवाघाट सड्क चौडीकरण अन्तर्गत ग्राम कालिका के खेत न० ७६७४ न होकर खेत न० ७६७३ में भू स्वामी पार्वती देवी पत्नी श्री लाल सिंह का नाम दर्ज होने विषयक प्रकरण की जांच कर समाधान किये जाने बाबत,उप जिलाधिकारी धारचूला,65.0
ग्राम पंचायत देवलालगांव मखोलियागांव पिथौरागढ् बाघों के आतंक से निजात दिलाये जाने एवं पोल लाईट की व्यवस्था करवाये जाने बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
ठुलीगाड पुल से सेरादेवल मंदिर तक सम्पर्क मार्ग निर्माण किये जाने बाबत,जिला पंचायत पिथौरागढ,41.0
आपदा से क्षतिग्रस्त शौचालय व आंगन की मरम्मत करवाये जाने बाबत,तहसील पिथौरागढ़,0.0
रामगंगा के जडतोला में स्वीक़त खनन पटटा निरस्त किये जाने बाबत,भूतत्व एवं खनिकर्म इकाई पिथौरागढ,87.0
राष्ट्रीय राजमार्ग अन्तर्गत पिथौरागढ् टनकपुर मोटर मार्ग में सुरक्षा दीवार निर्माण बाबत,अधिशासी अभियंता एन एच लोक निर्माण विभाग लोहाघाट,34.0
आंगनबाडी केन्द्र में हो रही असुविधा के मददेनजर उक्त केन्द्र को अस्थाई रूप से डाक बंगला परिसर में खोले जाने बाबत,जिला कार्यक्रम अधिकारी पिथौरागढ़,76.0
"विकासखण्ड गंगोलीहाट की हर घर जल, हर घर नल योजना की उच्च स्तरीय जांच किये जाने बाबत",अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32.0
अतिवृष्टि से क्षतिग्रस्त आंगन की दीवार मरम्मत हेतु धनराशि स्वीकृत किये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
प्राकृतिक आपदा से हुए क्षतिपूर्ति हेतु धनराशि दिलाये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
झाडी कटान एवं पैदल मार्ग मरम्मत व सोलर लाईट की व्यवस्था कर ग्रामीणों की समस्या का समाधान किये जाने बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
शराब की दुकानाें की ओवर रेटिंग व अवैध शराब की तस्करी पर रोक लगाये जाने बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
चम्मू बैंड से चौबाटी तक सडक मार्ग निर्माण बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
१५ वें वित्त आयोग के तहत कांडा में धर्मशाला निर्माण कार्य में अनियमितता की जांच किये जाने बाबत,जिला विकास अधिकारी पिथौरागढ,54.0
ग्राम हल्पाटीगौडियागांव में निर्माणाधीन मेडिकल कॉलेज के निकट प्राथमिक व आदर्श विघालय को स्थानान्तरित करने व कॉलेज के मध्य से मोस्टमानों हल्पाटी एवं मोस्टमानू गोडियागांव मोटर मार्ग व पैदल मार्ग का निर्माण किये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
ग्राम हल्पाटीगौडियागांव में निर्माणाधीन मेडिकल कॉलेज के निकट प्राथमिक व आदर्श विघालय को स्थानान्तरित करने व कॉलेज के मध्य से मोस्टमानों हल्पाटी एवं मोस्टमानू गोडियागांव मोटर मार्ग व पैदल मार्ग का निर्माण किये जाने बाबत,अधिशासी अभियंता प्रान्तीय खण्ड लो0नि0वि0 पिथौरागढ़,46.0
देवलथल में कूडा प्रबंधन हेतु उचित उपाय किये जाने बाबत,जिला पंचायत पिथौरागढ,41.0
ग्राम पंचायत शिलिंग के अन्तर्गत सेरा खरतोली सडक मार्ग सुधार एवं पूर्ण रूप से क्षतिग्रस्त आन्तरिक मार्ग के पुनर्निर्माण के सम्बन्ध मे,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
प्रतिवादी पडोसी द्वारा विवादित पैदल मार्गो का निर्माण किये जाने एवं जगह जगह कूडा फेंककर गन्दगी किये जाने तथा सार्वजनिक भूमि को निजी कार्याें में प्रयुक्त करने सम्बन्धी प्रकरण की जांच कर उनके खिलाफ कार्यवाही किये जाने बाबत,नगर निगम  पिथौरागढ़,25.0
वन विश्राम गृह विगत १२ वर्षो से क्षतिग्रस्त होने एवं वन विभागाधीन मोटर मार्ग के पानी से आवासीय भवन को हो रही समस्या का समाधान किये जाने बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
रा०इ०का०बास्ते हेतु पी०आर०डी० कार्मिक की व्यवस्था किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
ख्वांकोट स्थित प्रार्थिनी के पति के नाम पर बने शहीद स्मारक की सुरक्षा किये जाने बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
ग्राम लिण्ठयूडा के तोक विलाड में आवासीय भवनों में हो रहे जल भराव का समाधान किये जाने बाबत,नगर निगम  पिथौरागढ़,25.0
विपक्षी पडोसी द्वारा प्राथी की नाप भूमि में गन्दगी किये जाने एवं विरोध करने पर धमकी दिये जाने बाबत,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4.0
विपक्षी पडोसी द्वारा प्राथी की नाप भूमि में गन्दगी किये जाने एवं विरोध करने पर धमकी दिये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
रा०इ०का० रसैपाटा पिथौरागढ् में शिक्षकों व चतुर्थ श्रेणी कार्मिक के रिक्त पदों पर नियुक्ति किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
बुंगाछीना से बसौड तक पी०एम०जी०एस०वाई० अन्तर्गत बनी सड्क में झाडी कटान व कलमठों का निर्माण एवं सडकों को गडढा मुक्त किये जाने बाबत,अधिशासी अभियंता सिंचाई खण्ड लो0नि0वि0 पिथौरागढ़,59.0
बुंगाछीना से बसौड तक पी०एम०जी०एस०वाई० अन्तर्गत बनी सड्क में झाडी कटान व कलमठों का निर्माण एवं सडकों को गडढा मुक्त किये जाने बाबत,अधिशासी अभियन्ता सिंचाई निर्माण खण्ड पिथौरागढ़,39.0
आपदा से क्षतिग्रस्त भवन का मुआवजा दिलाये जाने बाबत,उप जिलाधिकारी  मुनस्यारी,77.0
देवलथल तहसील अन्तर्गत राजकीय ऐलोपैथिक चिकित्सालय को एम्बुलेन्स दिलाये जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
पी०एम०जी०एस०वाई० के अन्तर्गत बेलतडी से क्वारवन को जोडने वाली सडक पर पुल का निर्माण न होने से ग्रामीणों को हो रही समस्या का समाधान किये जाने बाबत,अधि0अभि0 पी0एम0जी0एस0वाई0 खण्ड लो0नि0वि0 पिथौरागढ़,84.0
अस्कोट में प्रार्थी के भवन में स्थित सरकारी गल्ला गोदाम का किराया दिलाये जाने बाबत,जिला पूर्ति अधिकारी  पिथौरागढ़,14.0
मेलपाटा से कांटे तोली मोटर मार्ग में सुरक्षा दीवार निर्माण एवं सडक को गडढा मुक्त किये जाने बाबत,अधिशासी अभियंता प्रान्तीय खण्ड लो0नि0वि0 पिथौरागढ़,46.0
ग्राम पंचायत सिरतोला के अन्तर्गत सेराघाट से सिरतोला मोटर मार्ग के सम्बन्ध में,अधिशासी अभियन्ता ग्रा0अ0से0अस्थाई प्रखण्ड डीडीहाट,37.0
ग्राम पंचायत सिरमतोला अन्तर्गत सेराघाट से सिरतोला मोटर मार्ग के सम्बन्ध में आवश्यक कार्यवाही किये जाने बाबत,अधिशासी अभियन्ता ग्रा0अ0से0अस्थाई प्रखण्ड डीडीहाट,37.0
तहसील बंगापानी के अन्तर्गत भारी अति वृष्टि एवं भूस्खलन से विभिन्न क्षेत्रों के विभागीय एवं सार्वजनिक सम्पत्तियों के पुनर्निर्माण् के सम्बन्ध में,उप जिलाधिकारी धारचूला,65.0
ग्राम पंचायत सिरतोला के अन्तर्गत भारी अति वृष्टि से विभागीय एवं सार्वजनिक सम्पत्तितयों के पुनर्निर्माण के सम्बन्ध मेंा,उप जिलाधिकारी धारचूला,65.0
ग्राम पंचायत समकोट वि०ख० मुनस्यारी में मूल समस्याओं का समाधान किये जाने बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
ग्राम पंचायत समकोट वि०ख० मुनस्यारी में मूल समस्याओं का समाधान किये जाने बाबत,मुख्य पशु चिकित्सा अधिकारी पिथौरागढ़,56.0
ग्राम पंचायत समकोट वि०ख० मुनस्यारी में मूल समस्याओं का समाधान किये जाने बाबत,उप जिलाधिकारी  मुनस्यारी,77.0
ग्राम पंचायत समकोट वि०ख० मुनस्यारी में मूल समस्याओं का समाधान किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
ग्राम पंचायत समकोट वि०ख० मुनस्यारी में मूल समस्याओं का समाधान किये जाने बाबत,भूतत्व एवं खनिकर्म इकाई पिथौरागढ,87.0
ग्राम पंचायत समकोट वि०ख० मुनस्यारी में मूल समस्याओं का समाधान किये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान डीडीहाट,47.0
ग्राम पंचायत सिरतोला में पुस्तकालय खोले जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
राजकीय इण्टर कॉलेज खतेडा के जीर्ण शीर्ण भवन का निर्माण किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
विकासखण्ड मुनस्यारी की विभिन्न समस्याओं का समाधान किये जाने बाबत,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
विकासखण्ड मुनस्यारी की विभिन्न समस्याओं का समाधान किये जाने बाबत,मुख्य पशु चिकित्सा अधिकारी पिथौरागढ़,56.0
विकासखण्ड मुनस्यारी की विभिन्न समस्याओं का समाधान किये जाने बाबत,उप जिलाधिकारी  मुनस्यारी,77.0
विकासखण्ड मुनस्यारी की विभिन्न समस्याओं का समाधान किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
विकासखण्ड मुनस्यारी की विभिन्न समस्याओं का समाधान किये जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
तल्ला जोहार की विभिन्न समस्याओं का समाधान किये जाने बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
तल्ला जोहार की विभिन्न समस्याओं का समाधान किये जाने बाबत,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
तल्ला जोहार की विभिन्न समस्याओं का समाधान किये जाने बाबत,अधि0अभि0 पी0एम0जी0एस0वाई0खण्ड लो0नि0वि0 धारचूला,57.0
तल्ला जोहार की विभिन्न समस्याओं का समाधान किये जाने बाबत,उप जिलाधिकारी  मुनस्यारी,77.0
तल्ला जोहार की विभिन्न समस्याओं का समाधान किये जाने बाबत,अधि0अभि0ग्रा0नि0वि0 पी0एम0जी0एस0वाई0 डीडीहाट,62.0
तल्ला जोहार की विभिन्न समस्याओं का समाधान किये जाने बाबत,जिला पंचायत राज अधिकारी  पिथौरागढ़,20.0
तल्ला जोहार की विभिन्न समस्याओं का समाधान किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
तल्ला जोहार की विभिन्न समस्याओं का समाधान किये जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
बांसबगड धामीगांव के क्षतिग्रस्त मोटर मार्ग को सुचारू किये जाने बाबत,अधि0अभि0 पी0एम0जी0एस0वाई0खण्ड लो0नि0वि0 धारचूला,57.0
प्रधान मंत्री ग्राम सड्क योजना के अन्तर्गत बेलतडी से ग्राम क्वारवन को जोडने वाले मोटर पुल के निर्माण कराये जाने बाबत,अधि0अभि0 पी0एम0जी0एस0वाई0 खण्ड लो0नि0वि0 पिथौरागढ़,84.0
वाईर्बे्न्ट विलेज कार्यक्रम के तहत धारचूला विकासखण्ड के अन्तर्गत स्वीक़त कार्योें की कार्यदीयी संस्था विकासखण्ड धारचूला को बनाये जाने बाबत,परियोजना निदेशक डीआरडीए पिथौरागढ़ (DRDA),90.0
ग्राम पंचायत सिरतोला के मण्डी भवन को सार्वजनिक कार्यो के उपयोगार्थ लाये जाने बाबत,खण्ड विकास अधिकारी मुनस्यारी,82.0
सामुदायिक स्वास्थ्य केन्द्र मुनस्यारी में कार्यरत नर्सिंग अधिकारी काे जिला चिकित्सालय पिथौरागढ् से मुनस्यारी भेजे जाने बाबत,"मुख्य चिकित्साधिकारी कार्यालय, पिथौरागढ़",78.0
सामुदायिक स्वास्थ्य केन्द्र मुनस्यारी में कार्यरत नर्सिंग अधिकारी काे जिला चिकित्सालय पिथौरागढ् से मुनस्यारी भेजे जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
मोतीघाट से गोल्फा पैदल मार्ग की मरम्मत किये जाने बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
"ग्राम पंचायत राप्ती, वल्थी, बाता एवं पत्थरकोट के ग्रामीणों के मध्य कीडा जडी विवाद के समाधान के सम्बन्ध में",उप जिलाधिकारी धारचूला,65.0
"ग्राम पंचायत राप्ती, वल्थी, बाता एवं पत्थरकोट के ग्रामीणों के मध्य कीडा जडी विवाद के समाधान के सम्बन्ध में",उप जिलाधिकारी  मुनस्यारी,77.0
धुूराखान से ढोलाखोली सड्क के डामरीकरण के सम्बन्ध मेंा,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
मंसूरीकांठा से होकरा मोटर मार्ग सुधारीकरण तथा तल्ला होकरा मोटर मार्ग का सर्वे कराये जाने बाबत,अधि0अभि0 पी0एम0जी0एस0वाई0खण्ड लो0नि0वि0 धारचूला,57.0
ग्राम मांसू में १५ वर्ष पूर्व बनी सडक में डामरीकरण करवाने बाबत,अधिशासी अभियंता प्रान्तीय खण्ड लो0नि0वि0 पिथौरागढ़,46.0
गुरिल्ला प्रशिक्षण हेतु प्रमाण पत्र में कार्यवाही किये जाने बाबत,मुख्य कृषि अधिकारी पिथौरागढ,33.0
जी०आई०सी० रांथी में अध्यापकों की नियुक्ति किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
चैतोल मेला परिसर के सौन्दर्यीकरण के सम्बन्ध मेंा,जिला पर्यटन विकास अधिकारी,17.0
मोटर मार्ग गस्कू से पर्यटन स्थल श्री नारायण आश्रम तक ट्रैक रूट एवं व्यू प्वाइंट का निर्माण किये जाने बाबत,जिला पर्यटन विकास अधिकारी,17.0
दैवीय आपदा से क्षतिग्रस्त विभागीय परिसम्पत्तियों के मरम्मत/पुनर्निर्माण के सम्बन्ध मेंा,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
जी०आईग्०सी० रांथी में होमगार्ड/पी०आर०डी० की नियुक्ति बाबत,जिला युवा कल्याण अधिकारी पिथौरागढ़,85.0
"ग्राम उर्ग अन्तर्गत ३५ परिवारों को घर घर नल, घर घर जल योजना के तहत पेयजल संयोजन का लाभ दिये जाने बाबत",अधिशासी अभियन्ता नि0म0 पेयजल निगम पिथौरागढ़,40.0
"ग्राम उर्ग अन्तर्गत ३५ परिवारों को घर घर नल, घर घर जल योजना के तहत पेयजल संयोजन का लाभ दिये जाने बाबत",अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32.0
अन्य पिछडा वर्ग अन्तर्गत जाति प्रमाण पृ बनवाने बाबत,तहसील पिथौरागढ़,0.0
ग्राम दौली-गौडीहाट के मोटर मार्ग चौडीकरण का भुगतान किये जाने बाबत,भूतत्व एवं खनिकर्म इकाई पिथौरागढ,87.0
श्री सैम देवता व काली माता मंदिर पुनर्निर्माण हेतु धनराशी आवंटित किये जाने बाबत,जिला पर्यटन विकास अधिकारी,17.0
ग्राम पंचायत बडलचमू देवलथल के अंतर्गत अपात्र व्यक्तियों को सरकारी योजनाओ का लाभ दिए जाने बाबत,जिला पंचायत राज अधिकारी  पिथौरागढ़,20.0
ग्रामसभा देवत में फेन्सिंग हेतु तार उपलब्ध कराये जाने बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
अतिवृष्टि से मोटर मार्ग के मलवे से आता चक्की को हुए नुक सान का मुआवजा दिलाये जाने बाबत,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
गौशाला के ऊपर से जा रही क्षतीग्रस्त विद्युत लाइन को अन्यत्र स्थानांतरित किये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
प्रार्थी के भवन के समीप पडोसी द्बंवारा बंद किये गए स्कबर को खोले जाने बाबत,तहसील पिथौरागढ़,0.0
हाई विद्युत वोल्टेज से घायल पुत्र का उपचार एवं क्षमतानुसार नौकरी दिलाये जाने बाबत,अधिशासी अभियंता विद्युत वितरण खण्ड धारचूला,26.0
वर्षा से क्षतिग्रस्त सुरक्षा दीवार का निर्माण किये जाने बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
दैवीय आपदा से क्षतिग्रस्त योजनाओ का मरम्मत कार्य स्वीकृत किये जाने बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
आवासीय भवन के समीप विशालकाय पेड़ से हो रहे खतरे से निज़ात दिलाये जाने बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
आवासीय भवन के समीप विशालकाय पेड़ से हो रहे खतरे से निज़ात दिलाये जाने बाबत,तहसील पिथौरागढ़,0.0
ग्राम पंचायत मवानी दवानी के गोरी नदी किनारे बसे आवासीय क्षेत्रो में स्थाई तटबंध निर्माण बाबत,अधि0अभि0 सिंचाई खण्ड धारचूला,72.0
दैवीय आपदा वर्ष २०२५-२६ से क्षतिग्रस्त विभागीय परिसंपत्तियों की मरम्मत/पुनर्निर्माण कार्यों हेतु आंगणनं के सम्बन्ध में,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
प्रार्थी के गरीब व दिब्यांग होने के द्रष्टिगत सहायता किये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
प्रधानमंत्री आवास व विद्युत कनेक्शन दिलाये जाने बाबत,जिला विकास अधिकारी पिथौरागढ,54.0
प्रधानमंत्री आवास व विद्युत कनेक्शन दिलाये जाने बाबत,अधि0 अभि0 विद्युत वितरण खण्ड पिथौरागढ़,19.0
